"prov" "agno" "casos" "esp" "long" "lat"
"492" 42 1984 11 17.922528890925 -2.58123034319994 41.6308263313168
"493" 43 1984 54 57.2934809710319 0.826785127629588 41.099494777678
"494" 44 1984 27 25.9586763642558 -0.812830844826387 40.6744694945262
"495" 45 1984 65 56.9444216643479 -4.14438535984712 39.8056144801947
"496" 46 1984 179 177.965682441502 -0.789648969061416 39.3579240490339
"497" 47 1984 55 41.2149997829959 -4.83269168581912 41.6440757226044
"498" 48 1984 115 84.3186222800036 -2.83223719674931 43.2527888459929
"499" 49 1984 31 34.7231498998646 -5.96472387457858 41.742081055707
"500" 50 1984 94 90.9523678090184 -1.05613701304700 41.6309680140457
"501" 1 1985 22 19.494217340946 -2.69920255095887 42.8362688079098
"502" 2 1985 48 36.8533704372991 -1.98432704501776 38.8405206642905
"503" 3 1985 109 102.94771859447 -0.576909403944958 38.4974913538265
"504" 4 1985 35 35.0034277084954 -2.35604061514020 37.2133431727737
"505" 5 1985 20 27.9905974030337 -4.93788312937989 40.5815877800085
"506" 6 1985 70 67.4669932387883 -6.13905369866462 38.7256674878886
"507" 7 1985 88 69.220304159411 2.91946602099717 39.6320217153478
"508" 8 1985 431 392.15490969397 1.99811663925652 41.7469265779753
"509" 9 1985 40 44.3426773031728 -3.59134675355039 42.3729704312902
"510" 10 1985 48 48.4237401275422 -6.15535052135614 39.7231926273179
"511" 11 1985 57 60.6817256052525 -5.76468483106548 36.5624969412696
"512" 12 1985 66 51.2852041620972 -0.148039282559446 40.2507348146576
"513" 13 1985 55 50.6200119607763 -3.81339188792 38.9298215736108
